time,name,price,buy_from,sell_to,buy_price,sell_price,profit,slope,hurst,er,changes,score1,score2,score
04-06 08:52:22,StatTrak™ AWP | Capillary (Factory New),79.9,BUFF,HALOSKINS,79.9,96.38,17.61%,6.53%,0.15,1.0,2,59.0,76.35,
04-07 16:47:32,Souvenir MAC-10 | Candy Apple (Field-Tested),61.9,YOUPIN,HALOSKINS,61.9,110.23,71.13%,8.60%,0.05,1.0,2,61.76,83.19,
04-07 16:50:43,StatTrak™ AWP | Capillary (Factory New),79.9,BUFF,HALOSKINS,79.9,96.17,14.85%,5.19%,0.2,1.0,1,59.05,76.38,
04-07 16:56:02,StatTrak™ MAC-10 | Ultraviolet (Minimal Wear),60.0,YOUPIN,HALOSKINS,60.0,72.68,15.61%,9.09%,0.1,0.96,2,62.89,79.33,
04-07 19:54:34,M4A1-S | Briefing (Minimal Wear),103.34,HALOSKINS,BUFF,103.34,118.0,8.83%,26.02%,0.16,1.0,3,99.0,83.2,
04-07 20:00:55,Souvenir MAC-10 | Candy Apple (Field-Tested),62.69,YOUPIN,HALOSKINS,62.69,110.23,68.94%,5.01%,0.1,1.0,2,54.84,78.7,
04-07 20:09:24,StatTrak™ MAC-10 | Ultraviolet (Minimal Wear),60.0,YOUPIN,HALOSKINS,60.0,72.68,15.61%,9.09%,0.1,0.96,2,62.77,79.25,
